gene	Example
FNBP1	152.035
FNBP1L	836
FNBP1P1	1
FNBP4	210.001
FNDC1	0
FNDC1-AS1	0
FNDC1-IT1	0
FNDC10	3
FNDC11	1
FNDC3A	763.001
FNDC3B	865.574
FNDC3CP	0
FNDC4	0
FNDC5	0
FNDC7	0
FNDC8	0
FNDC9	0
FNIP1	364.005
FNIP2	168
FNTA	395.194
FNTAP1	0
FNTAP2	0
FNTB	95.999
FOCAD	96.625
FOCAD-AS1	0
FOLH1	0
FOLH1B	0
FOLR1	13
FOLR1P1	1
FOLR2	0
FOLR3	0
FOS	306
FOS-AS1	0
FOSB	1
FOSL1	20
FOSL1P1	0
FOSL2	1206
FOSL2-AS1	2.475
FOXA1	411
FOXA2	44
FOXA3	2
FOXB1	0
FOXB2	0
FOXC1	72
FOXC2	0
FOXC2-AS1	2
FOXCUT	0
FOXD1	3
FOXD1-AS1	0
FOXD2	2
FOXD2-AS1	6
FOXD3	0
FOXD3-AS1	0
FOXD4	0
FOXD4L1	0
FOXD4L3	0
FOXD4L4	0
FOXD4L5	2
FOXD4L6	0
FOXE1	0
FOXE3	0
FOXF1	0
FOXF2	0
FOXF2-DT	0
FOXG1	0
FOXG1-AS1	0
FOXH1	4
FOXI1	0
FOXI2	0
FOXI3	0
FOXJ1	0
FOXJ2	110
FOXJ3	339.054
FOXK1	129.639
FOXK2	179.001
FOXK2-AS1	0
FOXL1	32
FOXL2	0
FOXL2NB	0
FOXL3	0
FOXM1	21
FOXN1	1
FOXN2	223
FOXN3	443.606
FOXN3-AS1	0
FOXN3-AS2	0
FOXN3-AS3	0
FOXN3-AS4	0
FOXN3P1	0
FOXN3P2	0
FOXN4	0
FOXO1	395
FOXO1B	0
FOXO3	1838.213
FOXO3B	0
FOXO4	47
FOXO6	4
FOXO6-AS1	0
FOXP1	430.569
FOXP1-AS1	1
FOXP1-DT	2
FOXP1-IT1	0
FOXP2	0
FOXP3	1
FOXP4	127.999
FOXP4-AS1	0
FOXQ1	219
FOXR1	0
FOXR2	0
FOXRED1	28.999
FOXRED2	22.128
FOXS1	0
FPGS	6
FPGT	115.365
FPGT-TNNI3K	21.714
FPR1	0
FPR2	0
FPR3	0
FRA10AC1	46.001
FRAS1	167
FRAT1	3
FRAT2	34
FREM1	0
FREM2	5.001
FREM2-AS1	0
FREM3	0
FREY1	1
FRG1	77.407
FRG1-DT	0
FRG1BP	18.826
FRG1CP	36.904
FRG1DP	0.853
FRG1EP	0
FRG1FP	0
FRG1GP	7.001
FRG1HP	13.908
FRG1JP	1.139
FRG1KP	0
FRG2	0
FRG2B	0
FRG2C	0
FRG2DP	0
FRG2EP	0
FRG2FP	0
FRG2GP	0
FRG2HP	0
FRG2IP	0
FRG2JP	0
FRG2KP	0
FRG2LP	0
FRG2MP	0
FRGCA	0
FRK	1284.539
FRMD1	9
FRMD3	415
FRMD3-AS1	1
FRMD4A	0
FRMD4A-AS1	0
FRMD4A-AS2	0
FRMD4B	49
FRMD5	91
FRMD6	28
FRMD6-AS2	2.002
FRMD7	0
FRMD8	57
FRMD8P1	0
FRMPD1	7
FRMPD2	0
FRMPD2B	0
FRMPD3	2
FRMPD3-AS1	0
FRMPD4	0
FRMPD4-AS1	0
FRRS1	86.995
FRRS1L	17.112
FRS2	218
FRS3	5
FRY	602
FRY-AS1	0
FRYL	1042.24
FRZB	5
FSAF1	131.023
FSBP	2
FSCB	0
FSCN1	4
FSCN1P1	0
FSCN2	0
FSCN3	0
FSD1	4.003
FSD1L	2.526
FSD2	0.985
FSHB	0
FSHR	0
FSIP1	1
FSIP2	301.063
FSIP2-AS1	1
FSIP2LP	0
FST	0
FSTL1	15
FSTL3	25
FSTL4	0
FSTL5	0
FTCD	0
FTCD-AS1	0
FTCDNL1	0
FTH1	61071.191
FTH1P1	0
FTH1P10	0
FTH1P11	7.774
FTH1P12	10.481
FTH1P13	1
FTH1P14	0
FTH1P15	3.003
FTH1P16	4.076
FTH1P19	0
FTH1P2	10.465
FTH1P20	5.092
FTH1P21	0
FTH1P22	0
FTH1P23	1.15
FTH1P24	0
FTH1P25	0
FTH1P26	0
FTH1P27	0
FTH1P28	0
FTH1P29	0
FTH1P3	2.06
FTH1P4	2.001
FTH1P5	2.25
FTH1P6	0
FTH1P7	4.107
FTH1P8	36.35
FTH1P9	0
FTHL17	0
FTHL18P	0
FTL	5673
FTLP1	0
FTLP10	2
FTLP12	0
FTLP13	0
FTLP14	1
FTLP15	1
FTLP16	0
FTLP17	0
FTLP18	0
FTLP19	0
FTLP2	0
FTLP20	0
FTLP3	0
FTLP4	0
FTLP5	0
FTLP6	0
FTLP8	0
FTMT	0
FTO	176.354
FTOP1	0
FTSJ1	77
FTSJ3	61
FTX	271.375
FUBP1	243
FUBP3	183
FUCA1	1278
FUCA1P1	0
FUCA2	447
FUNDC1	56
FUNDC2	66.14
FUNDC2P1	0
FUNDC2P2	0
FUNDC2P3	0
FUNDC2P4	0
FUOM	58
FURIN	326.939
FUS	525.003
FUT1	8.806
FUT10	82
FUT11	374.992
FUT2	935.773
FUT3	987.652
FUT4	197.369
FUT5	0
FUT6	11.529
FUT7	0
FUT8	494
FUT8-AS1	8
FUT9	59.998
FUZ	8
FXN	49.556
FXNP1	0
FXNP2	0
FXR1	325
FXR2	134.001
FXYD1	0
FXYD2	0
FXYD3	7013.481
FXYD4	0
FXYD5	881
FXYD6	0
FXYD6-AS1	0
FXYD6-FXYD2	0
FXYD6P1	0
FXYD6P2	0
FXYD6P3	0
FXYD7	0
FYB1	0
FYB2	0
FYCO1	118.001
FYN	44.394
FYTTD1	361.891
FYTTD1P1	0
FZD1	11
FZD10	0
FZD10-AS1	0
FZD2	0
FZD3	62.997
FZD4	7.001
FZD4-DT	0
FZD5	573
FZD6	183
FZD7	113
FZD8	1
FZD9	0
FZR1	94
G0S2	29
G2E3	134.999
G2E3-AS1	0
G2E3P1	0
G3BP1	909.001
G3BP1P1	0
G3BP2	1608
G6PC1	19
G6PC2	1
G6PC3	54.002
G6PD	79
GAA	45
GAB1	579
GAB2	53
GAB3	0
GAB4	0
GABARAP	1255.161
GABARAPL1	95
GABARAPL1-AS1	0
GABARAPL2	1131.001
GABARAPL3	0
GABBR1	120
GABBR2	0
GABPA	213
GABPAP	0
GABPB1	47
GABPB1-AS1	100.705
GABPB1-IT1	22
GABPB2	74.36
GABRA1	0
GABRA2	168
GABRA3	0
GABRA4	0
GABRA5	0
GABRA6	0
GABRA6-AS1	0
GABRB1	0
GABRB2	0
GABRB3	5
GABRD	2.887
GABRE	996
GABRG1	0
GABRG2	30.089
GABRG3	0
GABRG3-AS1	0
GABRP	1
GABRQ	0
GABRR1	1
GABRR2	1
GABRR3	0
GACAT1	0
GACAT2	0
GACAT3	0
GAD1	0
GAD2	0
GAD3P	0
GADD45A	723
GADD45B	84
GADD45G	4
GADD45GIP1	32
GADL1	0
GAGE1	0
GAGE10	0
GAGE12B	0
GAGE12C	0
GAGE12D	0
GAGE12E	0
GAGE12F	0
GAGE12G	0
GAGE12H	0
GAGE12J	0
GAGE13	0
GAGE2A	0
GAGE2E	0
GAK	335.152
GAL	0
GAL3ST1	840
GAL3ST2	0
GAL3ST2-AS1	0
GAL3ST3	0
GAL3ST4	8.321
GALC	1063.915
GALE	222.001
GALK1	23
GALK2	77.009
GALM	140.001
GALM-AS1	0
GALNS	112.018
GALNT1	500
GALNT10	850.005
GALNT11	124
GALNT12	249.001
GALNT13	0
GALNT13-AS1	1
GALNT14	0
GALNT15	0
GALNT16	0
GALNT16-AS1	0
GALNT17	0
GALNT18	31
GALNT2	248
GALNT3	905.999
GALNT4	296.18
GALNT5	192
GALNT6	513.9
GALNT7	548
GALNT7-DT	10
GALNT8	5.016
GALNT9	0
GALNT9-AS1	0
GALNTL5	0
GALNTL6	0
GALP	0
GALR1	0
GALR2	0
GALR3	0
GALT	153.001
GAMT	9
GAMTP2	0
GAN	0
GANAB	1218.998
GANC	125
GAP43	0
GAPDH	23009.907
GAPDH-DT	0
GAPDHP1	2.04
GAPDHP14	0
GAPDHP15	0
GAPDHP16	0
GAPDHP17	0
GAPDHP19	0
GAPDHP2	0
GAPDHP20	0
GAPDHP21	0
GAPDHP22	0
GAPDHP23	0
GAPDHP24	0
GAPDHP25	0
GAPDHP26	0
GAPDHP27	0
GAPDHP28	0
GAPDHP29	0
GAPDHP30	0
GAPDHP31	0
GAPDHP32	1
GAPDHP33	0
GAPDHP34	0
GAPDHP35	3
GAPDHP36	0
GAPDHP37	0
GAPDHP38	1
GAPDHP39	0
GAPDHP40	0
GAPDHP41	0
GAPDHP42	0
GAPDHP43	0
GAPDHP44	0
GAPDHP45	0
GAPDHP46	0
GAPDHP47	0
GAPDHP48	0
GAPDHP49	0
GAPDHP50	0
GAPDHP51	0
GAPDHP52	0
GAPDHP53	0
GAPDHP54	0
GAPDHP55	0
GAPDHP56	0
GAPDHP57	0
GAPDHP58	1
GAPDHP59	0
GAPDHP60	1
GAPDHP61	0
GAPDHP62	4
GAPDHP63	0
GAPDHP64	0
GAPDHP65	3.052
GAPDHP66	1
GAPDHP67	0
GAPDHP68	0
GAPDHP69	0
GAPDHP70	0
GAPDHP71	0
GAPDHP72	0
GAPDHP73	0
GAPDHP74	0
GAPDHP75	0
GAPDHP76	0
GAPDHP77	0
GAPDHS	0
GAPLINC	0
GAPT	0
GAPVD1	631.892
GAR1	15
GAR1-DT	0
GAREM1	226
GAREM2	2
GARIN1A	10.024
GARIN1B	0
GARIN2	0
GARIN3	0
GARIN3P1	0
GARIN4	0
GARIN5A	6
GARIN5B	0
GARIN6	0
GARNL3	10
GARRE1	83.543
GARS1	2517
GARS1-DT	368.183
GARS1P1	0
GART	198
GAS1	0
GAS1RR	1.1
GAS2	4
GAS2L1	30
GAS2L1P1	0
GAS2L1P2	0
GAS2L2	0
GAS2L3	92
GAS5	450.001
GAS5-AS1	4
GAS6	109
GAS6-AS1	4
GAS6-DT	6.932
GAS7	1
GAS8	19.999
GAS8-AS1	0
GASAL1	2.979
GASK1A	0
GASK1B	116
GASK1B-AS1	0
GAST	0
GATA1	0
GATA2	0
GATA2-AS1	0
GATA3	0
GATA3-AS1	0
GATA4	0
GATA5	0
GATA6	579
GATA6-AS1	164
GATAD1	499
GATAD2A	446.636
GATAD2B	347
GATB	36
GATC	182
GATD1	77.76
GATD1-DT	11
GATD3	10.757
GATM	48
GAU1	26.009
GBA1	252.001
GBA1LP	0
GBA2	319.999
GBA3	0
GBE1	248
GBF1	944
GBGT1	0
GBP1	20.407
GBP1P1	0
GBP2	337.001
GBP3	1034.594
GBP4	0
GBP5	0
GBP6	1.314
GBP7	0
GBX1	0
GBX2	0
GBX2-AS1	0
GC	0
GCA	173
GCAT	2
GCATP1	0
GCAWKR	10.836
GCC1	85
GCC2	774.641
GCC2-AS1	0
GCDH	17
GCFC2	12
GCG	0
GCGR	0
GCH1	176
GCHFR	12
GCK	0
GCKR	5
GCLC	606
GCLC-AS1	0
GCLM	91.433
GCM1	0
GCM1P1	0
GCM2	0
GCN1	163
GCNA	17.172
GCNAP1	0
GCNT1	156
GCNT1P1	0
GCNT1P2	0
GCNT1P3	0
GCNT1P4	0
GCNT1P5	0
GCNT2	8
GCNT2P1	0
GCNT3	6026
GCNT4	175
GCNT7	0
GCOM1	41.622
GCSAM	0
GCSAML	0
GCSH	38.301
GCSHP1	0
GCSHP2	0
GCSHP3	0
GCSHP4	0
GCSHP5	20.725
GCSHP6	0
GCSIR	0
GDA	1940.639
GDAP1	40
GDAP1L1	0
GDAP2	329.315
GDE1	1324.001
GDF1	0
GDF10	0
GDF11	4
GDF15	233
GDF2	0
GDF3	0
GDF5	0
GDF5-AS1	0
GDF6	0
GDF7	0
GDF9	6
GDI1	458.001
GDI2	3419
GDI2P1	0
GDI2P2	0
GDNF	0
GDNF-AS1	2.48
GDPD1	17.976
GDPD2	66.001
GDPD3	165
GDPD4	0
GDPD5	12
GDPGP1	164.348
GEM	44.001
GEMIN2	19
GEMIN2P1	0
GEMIN2P2	0
GEMIN4	36
GEMIN5	28
GEMIN6	67.378
GEMIN7	84
GEMIN7-AS1	0
GEMIN7P1	0
GEMIN8	60
GEMIN8P1	0
GEMIN8P2	0
GEMIN8P3	0
GEMIN8P4	2
GEN1	93
GET1	320.726
GET1-SH3BGR	1.662
GET1P1	0
GET3	0
GET4	85.001
GFAP	0
GFER	171
GFI1	0
GFI1B	1.037
GFM1	184.155
GFM2	157
GFOD1	48.997
GFOD1-AS1	0
GFOD2	102.017
GFOD3P	25.879
GFPT1	1900.005
GFPT2	2
GFRA1	0
GFRA2	0
GFRA3	0
GFRA4	0
GFRAL	0.936
GFUS	88.001
GFY	1
GGA1	84.142
GGA2	84.263
GGA3	255
GGACT	29
GGCT	66.063
GGCTP1	0
GGCTP2	0
GGCTP3	0
GGCX	329.721
GGH	153
GGN	3
GGNBP1	0
GGNBP2	598
GGPS1	533.839
GGT1	45.877
GGT3P	0
GGT4P	0
GGT5	0
GGT6	40.159
GGT7	50
GGT8P	1
GGTA1	0
GGTA2P	0
GGTLC1	0
GGTLC2	0
GGTLC3	0
GGTLC4P	0
GGTLC5P	0
GH1	0
GH2	0
GHDC	30
GHET1	1.532
GHITM	1438
GHR	1
GHRH	0
GHRHR	0
GHRL	0
GHRLOS	2
GHSR	0
GID4	67.995
GID8	233
GIGYF1	29
GIGYF2	250.554
GIHCG	2
GIMAP1	0
GIMAP1-GIMAP5	0
GIMAP2	37.001
GIMAP3P	0
GIMAP4	0
GIMAP5	0
GIMAP6	0
GIMAP7	0
GIMAP8	0
GIMD1	0
GIN1	30
GINM1	405.922
GINS1	1
GINS2	7
GINS3	10
GINS4	6.075
GIP	0
GIPC1	349.996
GIPC2	348
GIPC3	0
GIPR	25.727
GIRGL	34
GIT1	91
GIT2	224.001
GJA1	0
GJA10	0
GJA1P1	0
GJA3	5
GJA4	0
GJA5	1
GJA6P	0
GJA8	0
GJA9	7
GJB1	86.832
GJB2	464
GJB3	68
GJB4	14
GJB5	1
GJB6	2
GJB7	0
GJC1	4.88
GJC2	0
GJC3	2
GJD2	0
GJD2-DT	0
GJD3	0
GJD3-AS1	0
GJD4	0
GJE1	0
GK	144.785
GK-AS1	0
GK-IT1	1
GK2	0
GK3	0
GK4P	0
GK5	381.02
GKAP1	5
GKN1	0
GKN2	0
GKN3P	0
GLA	31
GLB1	1625
GLB1L	2
GLB1L2	15.953
GLB1L3	0
GLCCI1	78
GLCCI1-DT	0
GLCE	827
GLDC	117.969
GLDCP1	0
GLDN	15
GLE1	141
GLG1	1339.365
GLI1	0
GLI2	3
GLI3	0
GLI4	23.858
GLIDR	5.563
GLIPR1	0
GLIPR1-AS1	8.208
GLIPR1L1	0
GLIPR1L2	6.177
GLIPR2	1
GLIS1	0
GLIS2	2
GLIS2-AS1	1
GLIS3	22
GLIS3-AS1	2
GLIS3-AS2	0
GLMN	26
GLMP	133.25
GLO1	2936
GLOD4	530.075
GLOD5	8
GLP1R	0
GLP2R	0
GLRA1	0
GLRA2	0
GLRA3	0
GLRB	1
GLRX	773.909
GLRX2	90
GLRX3	435
GLRX3P2	0
GLRX5	119
GLRX5P1	0
GLRX5P2	0
GLRX5P3	0
GLRXP1	0
GLRXP2	0
GLRXP3	5
GLS	1293.001
GLS2	3
GLT1D1	0
GLT6D1	0
GLT8D1	184.998
GLT8D2	0
GLTC1	0
GLTP	225.354
GLTPD2	2
GLTPP1	0
GLUD1	1620.988
GLUD1P2	0
GLUD1P3	0
GLUD1P4	0
GLUD1P9	0
GLUD2	0
GLUL	545.001
GLULP3	0
GLULP4	0
GLULP5	0
GLULP6	0
GLYAT	0
GLYATL1	0
GLYATL1-AS1	0
GLYATL1B	0
GLYATL1P1	0
GLYATL1P2	0
GLYATL1P4	0
GLYATL2	0
GLYATL3	0
GLYCAM1	0
GLYCTK	72
GLYCTK-AS1	0
GLYR1	442.996
GLYR1P1	0
GM2A	544.559
GM2AP1	0
GM2AP2	0
GMCL1	233
GMCL1P2	0
GMCL2	0
GMDS	511
GMDS-DT	71
GMEB1	80.166
GMEB2	60
GMFB	814
GMFBP1	0
GMFG	0
GMIP	49
GML	0
GMNC	0
GMNN	43
GMPPA	155
GMPPB	48.103
GMPR	9
GMPR2	143.705
GMPS	238.003
GMPSP1	0
GNA11	1288.061
GNA12	253
GNA13	2366
GNA13P1	0
GNA14	1
GNA14-AS1	0
GNA15	12
GNA15-DT	0
GNAI1	236.868
GNAI2	731.546
GNAI2P1	0
GNAI2P2	0
GNAI3	699.369
GNAL	17.193
GNAO1	0
GNAO1-DT	1.1
GNAQ	668
GNAQP1	0
GNAS	6583.998
GNAS-AS1	0
GNAT1	0
GNAT2	0
GNAT3	0
GNAZ	11
GNB1	4212
GNB1-DT	1
GNB1L	4
GNB2	623
GNB3	0
GNB4	0
GNB5	90.001
GNE	366.482
GNG10	343.272
GNG10P1	0
GNG11	0
GNG12	5808
GNG12-AS1	1
GNG13	0
GNG14	0
GNG2	0
GNG3	0
GNG4	3
GNG5	3508.766
GNG5B	18.133
GNG5P1	0
GNG5P3	0
GNG5P5	0
GNG7	2
GNG8	0
GNGT1	0
GNGT2	0
GNL1	33
GNL2	124.947
GNL2P1	0
GNL3	133
GNL3L	33.131
GNL3LP1	2
GNLY	0
GNMT	0
GNPAT	642.999
GNPATP	0
GNPDA1	189.999
GNPDA2	59
GNPNAT1	208
GNPTAB	281.762
GNPTG	222.033
GNRH1	16
GNRH2	0
GNRHR	0
GNRHR2	8.264
GNRHR2P1	0
GNS	1718.28
GOLGA1	206.755
GOLGA2	238.644
GOLGA2P1	0
GOLGA2P10	0
GOLGA2P11	0
GOLGA2P2Y	0
GOLGA2P3Y	0
GOLGA2P4	0
GOLGA2P5	0
GOLGA2P6	0
GOLGA2P7	0
GOLGA2P8	0
GOLGA2P9	0
GOLGA3	346.002
GOLGA4	1191.077
GOLGA4-AS1	2.999
GOLGA5	381
GOLGA5P1	0
GOLGA6A	0
GOLGA6B	0
GOLGA6C	0
GOLGA6D	0
GOLGA6EP	0
GOLGA6FP	0
GOLGA6GP	0
GOLGA6L1	0
GOLGA6L10	13.588
GOLGA6L11P	0
GOLGA6L16P	0
GOLGA6L17P	0
GOLGA6L2	0
GOLGA6L22	0
GOLGA6L23P	0
GOLGA6L24	0
GOLGA6L25	0
GOLGA6L26	0
GOLGA6L3P	0
GOLGA6L4	1.179
GOLGA6L5P	7.198
GOLGA6L6	0
GOLGA6L7	0
GOLGA6L9	68.498
GOLGA6L9-AS1	6.153
GOLGA7	514
GOLGA7B	33
GOLGA7B-DT	0
GOLGA8A	142.057
GOLGA8B	76.353
GOLGA8CP	0
GOLGA8DP	0
GOLGA8EP	0
GOLGA8F	0
GOLGA8G	0
GOLGA8H	0
GOLGA8IP	1
GOLGA8J	0
GOLGA8K	0
GOLGA8M	0
GOLGA8N	6
GOLGA8O	0
GOLGA8Q	0
GOLGA8R	0
GOLGA8S	0
GOLGA8T	0
GOLGA8UP	0
GOLGA8VP	0
GOLGB1	939.005
GOLIM4	396
GOLM1	674
GOLM2	1256.983
GOLM2P1	0
GOLPH3	762
GOLPH3-DT	16
GOLPH3L	620
GOLT1A	308
GOLT1B	170
GON4L	146.184
GON7	32
GOPC	160
GORAB	31
GORAB-AS1	0
GORASP1	198.001
GORASP2	576.999
GOSR1	316.533
GOSR2	318.827
GOSR2-DT	0
GOT1	448
GOT1-DT	33.83
GOT1L1	0
GOT2	455.001
GOT2P1	0
GOT2P2	0
GOT2P3	2
GOT2P5	0
GOT2P6	0
GOT2P7	0
GP1BA	0
GP1BB	0
GP2	1
GP5	0
GP6	2
GP6-AS1	0
GP9	0
GPA33	11840
GPAA1	58.079
GPAA1P1	0
GPAA1P2	0
GPALPP1	108.026
GPAM	39
GPANK1	31
GPAT2	0
GPAT2P1	0
GPAT2P2	0
GPAT3	390
GPAT4	103.817
GPAT4-AS1	0
GPATCH1	88.043
GPATCH11	0
GPATCH11P1	0
GPATCH2	70.001
GPATCH2L	197.002
GPATCH3	16
GPATCH4	16.001
GPATCH8	475.959
GPBAR1	0
GPBP1	385.999
GPBP1L1	1290.001
GPC1	73
GPC1-AS1	0
GPC2	1
GPC3	0
GPC4	1
GPC5	0
GPC5-AS1	0
GPC5-AS2	0
GPC5-IT1	0
GPC6	0
GPC6-AS1	0
GPC6-AS2	0
GPCPD1	277
GPCPD1P1	0
GPD1	26
GPD1L	844
GPD2	1007
GPER1	61
GPHA2	0
GPHB5	0
GPHN	85.196
GPI	1520.37
GPIHBP1	0
GPKOW	87
GPLD1	0
GPM6A	0
GPM6A-DT	0
GPM6B	0
GPM6BP1	0
GPM6BP2	0
GPM6BP3	0
GPN1	80
GPN2	131.249
GPN2-AS1	0
GPN3	16
GPN3P1	0
GPNMB	0
GPR107	459
GPR108	316.999
GPR119	0
GPR12	0
GPR132	0
GPR135	4
GPR137	12.999
GPR137B	93
GPR137C	4
GPR139	0
GPR141	0
GPR141BP	0
GPR142	0
GPR143	3
GPR143YP	0
GPR146	7
GPR148	0
GPR149	0
GPR15	0
GPR150	0
GPR151	0
GPR152	0
GPR153	77
GPR155	19
GPR155-DT	9
GPR156	0
GPR157	133.48
GPR158	0
GPR158-AS1	0
GPR15LG	31
GPR160	742.999
GPR160P1	0
GPR160P2	0
GPR161	1
GPR162	0
GPR166P	0
GPR17	0
GPR171	0
GPR173	0.924
GPR174	1
GPR176	0
GPR176-DT	0
GPR179	0
GPR18	0
GPR180	134
GPR182	0
GPR183	0
GPR19	0
GPR199P	0
GPR20	0
GPR21	0
GPR22	0
GPR25	0
GPR26	0
GPR27	0
GPR3	0
GPR31	0
GPR32	0
GPR32P1	0
GPR33	0
GPR34	0
GPR35	389.343
GPR37	0
GPR37L1	15
GPR39	220
GPR4	0
GPR42	0
GPR45	0
GPR50	0
GPR50-AS1	0
GPR52	1
GPR53P	0
GPR55	0
GPR55-AS1	0
GPR6	0
GPR61	0
GPR62	0
GPR63	0
GPR65	3.097
GPR68	1
GPR75	6
GPR78	2.839
GPR79	0
GPR82	4.028
GPR83	0
GPR84	0
GPR84-AS1	0
GPR85	0
GPR87	2
GPR88	0
GPR89A	47.092
GPR89B	77.908
GPR89P	2
GPRACR	0
GPRASP1	3
GPRASP2	16
GPRASP3	2
GPRASP3P1	0
GPRC5A	13341
GPRC5B	0
GPRC5C	190
GPRC5D	0
GPRC5D-AS1	20.971
GPRC6A	0
GPRIN1	7
GPRIN2	8
GPRIN3	5.003
GPS1	105
GPS2	192.999
GPS2P1	0
GPS2P2	0
GPSM1	0
GPSM2	283.232
GPSM3	2
GPT	84
GPT2	191
GPX1	31.109
GPX1P1	0
GPX1P2	0
GPX2	532.001
GPX3	4525.423
GPX4	1464.281
GPX5	0
GPX6	0
GPX7	1
GPX8	46
GRAMD1A	18
GRAMD1A-AS1	0
GRAMD1B	250
GRAMD1C	35
GRAMD2A	8.039
GRAMD2B	847.001
GRAMD4	205
GRAMD4P1	0
GRAMD4P2	0
GRAMD4P3	7.687
GRAMD4P4	0
GRAMD4P5	0
GRAMD4P6	0
GRAMD4P7	0
GRAMD4P8	0
GRAP	0
GRAP2	0
GRAPL	0
GRAPL-AS1	0
GRASLND	4.411
GRB10	304
GRB14	7
GRB2	463
GRB7	54
GREB1	3.724
GREB1L	154.999
GREB1L-AS1	0
GREB1L-DT	0
GREM1	2
GREM1-AS1	0
GREM2	0
GREP1	14
GRHL1	94.004
GRHL2	51
GRHL3	12
GRHL3-AS1	0
GRHPR	239
GRIA1	0
GRIA2	0
GRIA3	0
GRIA4	0
GRID1	0
GRID1-AS1	0
GRID1-AS2	0
GRID2	1
GRID2IP	2
GRIFIN	0
GRIK1	0
GRIK1-AS1	0
GRIK2	15
GRIK3	0
GRIK4	0
GRIK5	1
GRIN1	0
GRIN2A	0
GRIN2B	8
GRIN2C	0
GRIN2D	0
GRIN3A	0
GRIN3B	0
GRINA	756
GRIP1	6
GRIP2	4
GRIPAP1	77.988
GRK1	0
GRK2	317
GRK3	506
GRK3-AS1	0
GRK4	7.005
GRK5	209
GRK5-AS1	0
GRK5-IT1	0
GRK6	24
GRK6P1	0
GRK7	0
GRM1	0
GRM2	0
GRM3	0
GRM3-AS1	0
GRM4	0
GRM5	0
GRM5-AS1	0
GRM5P1	0
GRM6	1.921
GRM7	0
GRM7-AS1	0
GRM7-AS2	0
GRM7-AS3	0
GRM8	0
GRM8-AS1	0
GRN	1351.761
GRP	0
GRPEL1	152.001
GRPEL2	104
GRPEL2-AS1	0
GRPEL2P1	0
GRPEL2P2	0
GRPEL2P3	0
GRPR	0
GRSF1	682.547
GRTP1	225.001
GRTP1-AS1	0
GRWD1	25.406
GRXCR1	0
GRXCR2	0
GSAP	47
GSC	0
GSC-DT	0
GSC2	0
GSCAR	0
GSDMA	17.023
GSDMB	175.271
GSDMC	0
GSDMD	43.973
GSDME	33
GSE1	487.413
GSE1-AS1	0
GSEC	130
GSG1	1
GSG1L	0
GSG1L2	0
GSK3A	394.29
GSK3B	878.837
GSK3B-DT	3
GSKIP	1074
GSN	593.001
GSN-AS1	1
GSPT1	531
GSPT2	180
GSR	434.652
GSS	282.233
GSTA1	6.03
GSTA10P	0
GSTA11P	0
GSTA12P	0
GSTA2	20.97
GSTA3	0
GSTA4	170
GSTA5	0
GSTA6P	0
GSTA7P	0
GSTA8P	0
GSTA9P	0
GSTCD	81
GSTCD-AS1	0
GSTK1	1406.206
GSTM1	122.743
GSTM2	300.764
GSTM2P1	0
GSTM3	473.671
GSTM3P1	0
GSTM3P2	0
GSTM4	751.836
GSTM5	0
GSTM5P1	0
GSTO1	2043
GSTO2	147.001
GSTO3P	0
GSTP1	7.663
GSTP1P1	0
GSTT2	0
GSTT2B	0
GSTT3P	0
GSTT4	0
GSTZ1	63
GSX1	0
GSX2	0
GTDC1	45.855
GTDC1-AS1	0
GTF2A1	320
GTF2A1-AS1	3
GTF2A1L	0
GTF2A2	84.002
GTF2B	179
GTF2E1	31.32
GTF2E2	236.042
GTF2F1	161.001
GTF2F2	156
GTF2F2P1	0
GTF2F2P2	0
GTF2H1	146.545
GTF2H2	46.872
GTF2H2B	106.276
GTF2H2C	57.099
GTF2H3	108.005
GTF2H4	15
GTF2H5	252.014
GTF2I	1390.6
GTF2I-AS1	6
GTF2IP1	210.006
GTF2IP11	0
GTF2IP12	0
GTF2IP13	0
GTF2IP14	2
GTF2IP2	0
GTF2IP20	0
GTF2IP22	0
GTF2IP23	0
GTF2IP3	0
GTF2IP4	910.807
GTF2IP5	2
GTF2IP6	0
GTF2IP7	2
GTF2IP8	0
GTF2IP9	0
GTF2IRD1	199.161
GTF2IRD1P1	0
GTF2IRD2	22.673
GTF2IRD2B	108.162
GTF2IRD2P1	1.953
GTF3A	96.647
GTF3AP1	0
GTF3AP2	0
GTF3AP5	0
GTF3AP6	0
GTF3C1	190
GTF3C2	215.888
GTF3C2-AS1	0
GTF3C2-AS2	94.741
GTF3C3	308.999
GTF3C4	160
GTF3C5	129.998
GTF3C6	180
GTF3C6P1	0
GTF3C6P2	0
GTF3C6P3	0
GTPBP1	243
GTPBP10	160.134
GTPBP2	353.809
GTPBP3	11
GTPBP4	170.137
GTPBP6	26
GTPBP8	47.002
GTSCR1	0
GTSE1	8
GTSE1-DT	0
GTSF1	0
GTSF1L	0
GUCA1A	0
GUCA1B	0
GUCA1C	0
GUCA2A	175
GUCA2B	1
GUCD1	612
GUCY1A1	0
GUCY1A2	0
GUCY1B1	0
GUCY1B2	3
GUCY2C	611
GUCY2C-AS1	0
GUCY2D	2
GUCY2EP	0
GUCY2F	0
GUCY2GP	0
GUF1	192.008
GUK1	303.803
GULOP	0
GULP1	208
GUSB	324.001
GUSBP1	0
GUSBP10	0
GUSBP11	39.019
GUSBP12	0
